idx,Name,Recommend Name 0,Recommend Name 1,Recommend Name 2,Recommend Name 3,Recommend Name 4,Recommend Name 5,Recommend Name 6,Recommend Name 7,Recommend Name 8,Recommend Name 9,Recommend PCA Distances 0,Recommend PCA Distances 1,Recommend PCA Distances 2,Recommend PCA Distances 3,Recommend PCA Distances 4,Recommend PCA Distances 5,Recommend PCA Distances 6,Recommend PCA Distances 7,Recommend PCA Distances 8,Recommend PCA Distances 9,Recommend Genres 0,Recommend Genres 1,Recommend Genres 2,Recommend Genres 3,Recommend Genres 4,Recommend Genres 5,Recommend Genres 6,Recommend Genres 7,Recommend Genres 8,Recommend Genres 9,Recommend Rating 0,Recommend Rating 1,Recommend Rating 2,Recommend Rating 3,Recommend Rating 4,Recommend Rating 5,Recommend Rating 6,Recommend Rating 7,Recommend Rating 8,Recommend Rating 9,Predicted Rating,Actual Rating
10,Superman Returns,Waterworld,Robin Hood,The Chronicles of Narnia: Prince Caspian,The BFG,The Green Hornet,Deep Impact,S.W.A.T.,Hulk,Battleship,Master and Commander: The Far Side of the World,0.0007396364696653501,0.004325824088001529,0.007501284893057236,0.012505092952071362,0.014155274980389376,0.015042558073081302,0.01708029874555017,0.01908895606415395,0.01960001527093247,0.01975596066709706,"'Adventure','Action'","'Action','Adventure'","'Adventure','Family','Fantasy'","'Adventure','Family','Fantasy'","'Action','Crime','Comedy'","'Action','Drama','Romance'","'Action','Thriller','Crime'","'Drama','Action','ScienceFiction'","'Thriller','Action','Adventure','ScienceFiction'",'Adventure',5.9,6.2,6.3,6.0,5.5,5.9,5.8,5.3,5.5,6.9,5.93,5.4
11,Quantum of Solace,Night at the Museum: Battle of the Smithsonian,The Adventures of Tintin,300: Rise of an Empire,Pirates of the Caribbean: On Stranger Tides,Megamind,Monsters University,The Tourist,Grown Ups 2,Salt,Prince of Persia: The Sands of Time,0.002252921184559109,0.010625577649118645,0.013064016948295953,0.01660035941342186,0.01685861632968033,0.017252441508052274,0.019645717754266045,0.020585754575681126,0.020605605707861074,0.021429370578387674,"'Adventure','Fantasy','Action','Comedy','Family'","'Adventure','Animation','Mystery'","'Action','War'","'Adventure','Action','Fantasy'","'Animation','Action','Comedy','Family','ScienceFiction'","'Animation','Family'","'Action','Thriller','Romance'",'Comedy',"'Action','Mystery','Thriller'","'Adventure','Fantasy','Action','Romance'",5.9,6.7,6.1,6.4,6.7,7.0,6.0,5.8,6.2,6.2,6.3,6.1
12,Pirates of the Caribbean: Dead Man's Chest,Mission: Impossible - Rogue Nation,Captain America: Civil War,Mission: Impossible - Ghost Protocol,The Hunger Games: Mockingjay - Part 2,Avengers: Age of Ultron,Casino Royale,American Reunion,The Matrix Reloaded,The Hobbit: The Battle of the Five Armies,Die Hard: With a Vengeance,0.006200133958801812,0.008577821187363499,0.009079445705286737,0.01112760215131492,0.013107107294946796,0.013440980168880068,0.013485669494694652,0.01424071575218211,0.01628182557588631,0.01665771842995889,"'Action','Adventure','Thriller'","'Adventure','Action','ScienceFiction'","'Action','Thriller','Adventure'","'Action','Adventure','ScienceFiction'","'Action','Adventure','ScienceFiction'","'Adventure','Action','Thriller'",'Comedy',"'Adventure','Action','Thriller','ScienceFiction'","'Action','Adventure','Fantasy'","'Action','Thriller'",7.1,7.1,6.8,6.6,7.3,7.3,6.1,6.7,7.1,6.9,6.9,7.0
13,The Lone Ranger,The Chronicles of Riddick,47 Ronin,John Carter,White House Down,Hugo,Green Zone,The Island,Gods of Egypt,Around the World in 80 Days,S.W.A.T.,0.01644830420220733,0.022488037870812327,0.02764947604041934,0.028124786438595062,0.02914221482052215,0.03281466576365111,0.03365119842349762,0.03666200769137795,0.03720741851726228,0.037999792217955686,"'Action','ScienceFiction'","'Drama','Action','Adventure','Fantasy'","'Action','Adventure','ScienceFiction'","'Action','Drama','Thriller'","'Adventure','Drama','Family'","'War','Action','Adventure','Drama','Thriller'","'Action','Thriller','ScienceFiction','Adventure'",'Fantasy',"'Action','Adventure','Comedy'","'Action','Thriller','Crime'",6.3,5.9,6.1,6.4,7.0,6.4,6.5,5.3,5.7,5.8,6.139999999999999,5.9
14,Man of Steel,The Amazing Spider-Man,X-Men: Days of Future Past,Star Trek Into Darkness,Star Trek,World War Z,The Hobbit: An Unexpected Journey,Batman v Superman: Dawn of Justice,Iron Man 2,Pacific Rim,The Matrix Revolutions,0.004253097683223794,0.008237960636313213,0.00828186388621055,0.008648624800430715,0.010221200128433083,0.01144534405157116,0.011572276005551552,0.011807398273381953,0.011887436060575296,0.013364908872921188,"'Action','Adventure','Fantasy'","'Action','Adventure','Fantasy','ScienceFiction'","'Action','Adventure','ScienceFiction'","'ScienceFiction','Action','Adventure'","'Action','Drama','Horror','ScienceFiction','Thriller'","'Adventure','Fantasy','Action'","'Action','Adventure','Fantasy'","'Adventure','Action','ScienceFiction'","'Action','ScienceFiction','Adventure'","'Adventure','Action','Thriller','ScienceFiction'",6.5,7.5,7.4,7.4,6.7,7.0,5.7,6.6,6.7,6.4,6.790000000000001,6.5
15,The Chronicles of Narnia: Prince Caspian,Robin Hood,Superman Returns,Waterworld,The Bone Collector,The Green Hornet,Hulk,Lethal Weapon 4,Deep Impact,The World Is Not Enough,The Longest Yard,0.006012552236935531,0.007501284893057236,0.008496664816504795,0.01756052544416631,0.01768980620663485,0.017831696427994648,0.018724307019459374,0.019051066069783573,0.019779622225935878,0.021508919748131072,"'Action','Adventure'","'Adventure','Fantasy','Action','ScienceFiction'","'Adventure','Action'","'Drama','Mystery','Thriller','Crime'","'Action','Crime','Comedy'","'Drama','Action','ScienceFiction'","'Action','Adventure','Comedy','Crime','Thriller'","'Action','Drama','Romance'","'Adventure','Action','Thriller'","'Comedy','Drama'",6.2,5.4,5.9,6.5,5.5,5.3,6.3,5.9,6.0,6.2,5.92,6.3
16,The Avengers,The Incredibles,Ocean's Eleven,Spider-Man,Harry Potter and the Prisoner of Azkaban,The Hunger Games: Catching Fire,Iron Man 3,Skyfall,Harry Potter and the Philosopher's Stone,Super 8,The Other Woman,0.0059624797430851695,0.0060927312408473044,0.007515713556903503,0.007824930871926483,0.008024585171957477,0.008221674108069066,0.008997132324777168,0.010912661794073686,0.011921378764555679,0.013435588352393446,"'Action','Adventure','Animation','Family'","'Thriller','Crime'","'Fantasy','Action'","'Adventure','Fantasy','Family'","'Adventure','Action','ScienceFiction'","'Action','Adventure','ScienceFiction'","'Action','Adventure','Thriller'","'Adventure','Fantasy','Family'","'Thriller','ScienceFiction','Mystery'","'Comedy','Romance'",7.4,7.2,6.8,7.7,7.4,6.8,6.9,7.5,6.6,6.2,7.05,7.4
17,Pirates of the Caribbean: On Stranger Tides,Warcraft,Mission: Impossible III,Prince of Persia: The Sands of Time,Spider-Man 3,TRON: Legacy,Safe House,Knight and Day,The Chronicles of Narnia: The Voyage of the Dawn Treader,Terminator 3: Rise of the Machines,Spectre,0.0014850643961752397,0.006065259620742669,0.007438148848874171,0.008766588641116013,0.009688213092838627,0.010855762377332212,0.011874337416230896,0.013340184415370882,0.013554711383247597,0.01622682849201018,"'Action','Adventure','Fantasy'","'Adventure','Action','Thriller'","'Adventure','Fantasy','Action','Romance'","'Fantasy','Action','Adventure'","'Adventure','Action','ScienceFiction'","'Action','Thriller'","'Action','Comedy'","'Adventure','Family','Fantasy'","'Action','Thriller','ScienceFiction'","'Action','Adventure','Crime'",6.3,6.5,6.2,5.9,6.3,6.3,5.9,6.2,5.9,6.3,6.18,6.4
18,Men in Black 3,The Tourist,Lara Croft: Tomb Raider,Charlie and the Chocolate Factory,Tangled,Salt,Oz: The Great and Powerful,Grown Ups,The Legend of Tarzan,G.I. Joe: Retaliation,Click,0.012549587763343695,0.014184816437369241,0.015047972438609558,0.016382815245518434,0.018708493565779083,0.01918811959510247,0.02175720518849955,0.02235871894932484,0.024527855689477573,0.025227259679540426,"'Action','Thriller','Romance'","'Adventure','Fantasy','Action','Thriller'","'Adventure','Comedy','Family','Fantasy'","'Animation','Family'","'Action','Mystery','Thriller'","'Fantasy','Adventure','Family'",'Comedy',"'Action','Adventure'","'Adventure','Action','ScienceFiction','Thriller'","'Comedy','Drama','Fantasy','Romance'",6.0,5.7,6.7,7.4,6.2,5.7,6.0,5.5,5.4,6.0,6.06,6.2
19,The Hobbit: The Battle of the Five Armies,Spectre,Jason Bourne,The Amazing Spider-Man 2,Harry Potter and the Half-Blood Prince,The Hobbit: The Desolation of Smaug,Spider-Man 3,Live Free or Die Hard,Pirates of the Caribbean: At World's End,Ocean's Thirteen,Avengers: Age of Ultron,0.00209568267103577,0.003600778397876314,0.0036300690659862855,0.005083219472303724,0.00781607635233772,0.007957486927748447,0.008863315683911077,0.009228338563470717,0.010852589733936768,0.011033202031054179,"'Action','Adventure','Crime'","'Action','Thriller'","'Action','Adventure','Fantasy'","'Adventure','Fantasy','Family'","'Adventure','Fantasy'","'Fantasy','Action','Adventure'","'Action','Thriller'","'Adventure','Fantasy','Action'","'Crime','Thriller'","'Action','Adventure','ScienceFiction'",6.3,5.9,6.5,7.4,7.6,5.9,6.4,6.9,6.5,7.3,6.67,7.1
20,The Amazing Spider-Man,Man of Steel,The Hobbit: An Unexpected Journey,Iron Man 2,The Dark Knight Rises,Captain America: The Winter Soldier,Charlie and the Chocolate Factory,World War Z,X-Men: Days of Future Past,Suicide Squad,Wreck-It Ralph,0.004253097683223794,0.006655452269485718,0.006882482199203177,0.0071473787041445025,0.007197500905230747,0.010621039841487434,0.011278216047945766,0.011870929679317355,0.013962057524526394,0.016169280555500154,"'Action','Adventure','Fantasy','ScienceFiction'","'Adventure','Fantasy','Action'","'Adventure','Action','ScienceFiction'","'Action','Crime','Drama','Thriller'","'Action','Adventure','ScienceFiction'","'Adventure','Comedy','Family','Fantasy'","'Action','Drama','Horror','ScienceFiction','Thriller'","'Action','Adventure','Fantasy','ScienceFiction'","'Action','Adventure','Crime','Fantasy','ScienceFiction'","'Family','Animation','Comedy','Adventure'",6.5,7.0,6.6,7.6,7.6,6.7,6.7,7.5,5.9,7.1,6.92,6.5
21,Robin Hood,Superman Returns,Waterworld,The Chronicles of Narnia: Prince Caspian,Lethal Weapon 4,The Green Hornet,John Carter,Master and Commander: The Far Side of the World,White House Down,The BFG,Hulk,0.004325824088001529,0.0050954507248813785,0.006012552236935531,0.013659724013892371,0.01479387370034968,0.015369295900657498,0.016386677818426953,0.01823733313906728,0.01981451584281524,0.020288979318070943,"'Adventure','Fantasy','Action','ScienceFiction'","'Adventure','Action'","'Adventure','Family','Fantasy'","'Action','Adventure','Comedy','Crime','Thriller'","'Action','Crime','Comedy'","'Action','Adventure','ScienceFiction'",'Adventure',"'Action','Drama','Thriller'","'Adventure','Family','Fantasy'","'Drama','Action','ScienceFiction'",5.4,5.9,6.3,6.3,5.5,6.1,6.9,6.4,6.0,5.3,6.01,6.2
22,The Hobbit: The Desolation of Smaug,Live Free or Die Hard,Harry Potter and the Half-Blood Prince,Ocean's Thirteen,Spectre,The Amazing Spider-Man 2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",The Hobbit: The Battle of the Five Armies,Die Hard: With a Vengeance,The Matrix Reloaded,Pirates of the Caribbean: At World's End,0.0013617497742225426,0.003410341745754164,0.005343101225595004,0.005867370020801177,0.006519217959393586,0.007125316927438563,0.00781607635233772,0.010135850657188916,0.010325677763707963,0.01095632757291154,"'Action','Thriller'","'Adventure','Fantasy','Family'","'Crime','Thriller'","'Action','Adventure','Crime'","'Action','Adventure','Fantasy'","'Adventure','Family','Fantasy'","'Action','Adventure','Fantasy'","'Action','Thriller'","'Adventure','Action','Thriller','ScienceFiction'","'Adventure','Fantasy','Action'",6.4,7.4,6.5,6.3,6.5,6.7,7.1,6.9,6.7,6.9,6.74,7.6
23,The Golden Compass,Teenage Mutant Ninja Turtles: Out of the Shadows,Charlie's Angels: Full Throttle,The Longest Yard,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Polar Express,Wrath of the Titans,Alice Through the Looking Glass,G.I. Joe: The Rise of Cobra,The Green Hornet,Terminator 3: Rise of the Machines,0.004893176355900808,0.012277353651836465,0.013067549779887111,0.013603402994972091,0.016485012706965563,0.017414742381835158,0.017515775670739808,0.01765801792549382,0.017674361715589226,0.017691053288376946,"'Fantasy','Action','Adventure','Comedy'","'Action','Adventure','Comedy'","'Comedy','Drama'","'Adventure','Family','Fantasy'","'Adventure','Animation','Family','Fantasy'",'Adventure','Fantasy',"'Adventure','Action','Thriller','ScienceFiction'","'Action','Crime','Comedy'","'Action','Thriller','ScienceFiction'",5.8,5.2,6.2,6.2,6.4,5.5,6.5,5.6,5.5,5.9,5.88,5.8
24,King Kong,The Mask of Zorro,Bad Boys II,Enemy of the State,The Last Samurai,Troy,Public Enemies,True Lies,Pearl Harbor,The Holiday,A.I. Artificial Intelligence,0.0028125747013170166,0.0073272197813439854,0.008610802909670312,0.011627751918390605,0.012092027474669642,0.017049612584827956,0.017698262428476608,0.02231534401388957,0.024482028862652494,0.02710720754659257,"'Action','Adventure'","'Adventure','Action','Comedy','Thriller','Crime'","'Action','Drama','Thriller'","'Drama','Action','War','History'","'Adventure','Drama','War'","'History','Crime','Drama'","'Action','Thriller'","'History','Romance','War'","'Comedy','Romance'","'Drama','ScienceFiction','Adventure'",6.3,6.3,6.7,7.3,6.9,6.5,6.8,6.6,6.7,6.8,6.69,6.6
25,Titanic,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode I - The Phantom Menace,Independence Day,Hitch,Avatar,The Da Vinci Code,Harry Potter and the Order of the Phoenix,Star Wars: Episode II - Attack of the Clones,Furious 7,Harry Potter and the Goblet of Fire,0.004975877113686855,0.005821310938438629,0.007192637069880603,0.01351428820798295,0.01514807208047686,0.01653061447020099,0.020784690443264364,0.022075680516701945,0.025922707572251125,0.0296620473243715,"'ScienceFiction','Adventure','Action'","'Adventure','Action','ScienceFiction'","'Action','Adventure','ScienceFiction'","'Comedy','Drama','Romance'","'Action','Adventure','Fantasy','ScienceFiction'","'Thriller','Mystery'","'Adventure','Fantasy','Family','Mystery'","'Adventure','Action','ScienceFiction'",'Action',"'Adventure','Fantasy','Family'",7.1,6.3,6.7,6.4,7.2,6.5,7.4,6.4,7.3,7.5,6.88,7.5
26,Captain America: Civil War,The Hunger Games: Mockingjay - Part 2,Pirates of the Caribbean: Dead Man's Chest,San Andreas,Mission: Impossible - Rogue Nation,Cars,Batman v Superman: Dawn of Justice,Thor: The Dark World,American Reunion,Casino Royale,Mission: Impossible,0.003623474962695439,0.008577821187363499,0.00893487992451003,0.00919064073869813,0.010762645298748375,0.011656253065041033,0.015594366975757001,0.01605377652112694,0.017018085579853515,0.0172530129725037,"'Action','Adventure','ScienceFiction'","'Adventure','Fantasy','Action'","'Action','Drama','Thriller'","'Action','Adventure','Thriller'","'Animation','Adventure','Comedy','Family'","'Action','Adventure','Fantasy'","'Action','Adventure','Fantasy'",'Comedy',"'Adventure','Action','Thriller'","'Adventure','Action','Thriller'",6.6,7.0,6.0,7.1,6.6,5.7,6.8,6.1,7.3,6.7,6.590000000000001,7.1
27,Battleship,The BFG,The Green Hornet,Terminator Salvation,Star Trek Beyond,Alice Through the Looking Glass,White House Down,John Carter,Gods of Egypt,Superman Returns,Dark Shadows,0.014396865692804406,0.01591004085522607,0.016529621725492105,0.016751586665270768,0.01685598986490755,0.017440879205724125,0.01751733045214865,0.01920410132340611,0.01960001527093247,0.01966283575833294,"'Adventure','Family','Fantasy'","'Action','Crime','Comedy'","'Action','ScienceFiction','Thriller'","'Action','Adventure','ScienceFiction'",'Fantasy',"'Action','Drama','Thriller'","'Action','Adventure','ScienceFiction'",'Fantasy',"'Adventure','Fantasy','Action','ScienceFiction'","'Comedy','Fantasy'",6.0,5.5,5.9,6.6,6.5,6.4,6.1,5.3,5.4,5.7,5.9399999999999995,5.5
28,Jurassic World,Taken 3,The Hunger Games: Mockingjay - Part 1,Bruce Almighty,Panic Room,Rise of the Planet of the Apes,Twilight,Dawn of the Planet of the Apes,Pirates of the Caribbean: The Curse of the Black Pearl,Non-Stop,Pitch Perfect 2,0.0012080619982275387,0.012003130399605433,0.01933584990661419,0.026180067703725274,0.027370105835764824,0.029068141929476043,0.030884078343715538,0.033751175858440785,0.03380667365387413,0.03434149756331706,"'Thriller','Action'","'ScienceFiction','Adventure','Thriller'","'Fantasy','Comedy'","'Crime','Drama','Thriller'","'Thriller','Action','Drama','ScienceFiction'","'Adventure','Fantasy','Drama','Romance'","'ScienceFiction','Action','Drama','Thriller'","'Adventure','Fantasy','Action'","'Action','Thriller','Mystery'","'Comedy','Music'",6.1,6.6,6.4,6.5,7.0,5.8,7.3,7.5,6.8,6.8,6.68,6.5
29,Skyfall,Harry Potter and the Order of the Phoenix,Spider-Man,Iron Man 3,Harry Potter and the Prisoner of Azkaban,Captain America: The Winter Soldier,The Avengers,The Dark Knight Rises,Mr. & Mrs. Smith,The Hunger Games: Catching Fire,Mission: Impossible - Ghost Protocol,0.004653804744338741,0.004838755213521617,0.005677204850910278,0.00745409732165081,0.008285580072196375,0.008997132324777168,0.009095081779995295,0.009117140698707726,0.009451557964647805,0.011840042529404848,"'Adventure','Fantasy','Family','Mystery'","'Fantasy','Action'","'Action','Adventure','ScienceFiction'","'Adventure','Fantasy','Family'","'Action','Adventure','ScienceFiction'","'ScienceFiction','Action','Adventure'","'Action','Crime','Drama','Thriller'","'Action','Comedy','Drama','Thriller'","'Adventure','Action','ScienceFiction'","'Action','Thriller','Adventure'",7.4,6.8,6.8,7.7,7.6,7.4,7.6,6.5,7.4,6.8,7.2,6.9
